Albacore,8192,45.24
RS 400,1376,41.35
GP14,13326,50.25
Albacore,7426,49.02
RS 200,1184,56.33
GP14,13263,63.01
Merlin Rocket,3742,55.32
Merlin Rocket,3662,62.33
,,
